"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,54346,"Scottsdale","AZ","Phoenix","Maricopa",100,414600,0.00387409200968523,0.0149326805385557,0.0579229395253891,0.0682738726174821,-0.0139224033900324,"2006-02","2006-Q1",480800,-0.137687188019967,"2005-06"
2016-05-31,13550,"Rochester","NY","Rochester","Monroe",101,66500,-0.00449101796407186,-0.00299850074962519,0.0406885758998435,0.0224943947595515,0.0151788510760034,"2016-03","2016-Q1",67100,-0.00894187779433681,"2016-02"
2016-05-31,41760,"Winston-Salem","NC","Winston-Salem","Forsyth",102,116100,-0.000860585197934596,0.00432525951557093,0.0130890052356021,0.00208010118489432,-0.00437190798896081,"2008-04","2008-Q2",125900,-0.0778395552025417,"2005-02"
2016-05-31,52650,"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",103,769200,0,0.00667451904201021,0.0401622718052738,0.0641009742280219,-0.00161070357356197,"2006-05","2006-Q2",781700,-0.0159907893053601,"2006-02"
2016-05-31,6752,"Richmond","VA","Richmond","Richmond City",104,154100,-0.000648508430609598,-0.0140754958413308,0.0426251691474966,0.0201069025367293,0.00520775689969,"2008-02","2008-Q1",158400,-0.0271464646464646,"2007-06"
2016-05-31,10477,"Boca Raton","FL","Miami-Fort Lauderdale","Palm Beach",105,301900,0.00499334221038615,0.0134273246055723,0.0747597009611961,0.087916910619567,-0.0249043725028298,"2006-03","2006-Q1",393600,-0.232977642276423,"2005-01"
2016-05-31,13150,"Oxnard","CA","Ventura","Ventura",106,436100,-0.000687442713107241,0.0046072333563695,0.0797227036395147,0.0794929821931842,-0.0312567784261478,"2006-05","2006-Q2",599100,-0.272074778834919,"2004-08"
2016-05-31,44282,"Bradenton","FL","North Port-Sarasota-Bradenton","Manatee",107,204800,0.00837026095519449,0.024,0.124656781987919,0.0928156791572789,-0.0272603494853277,"2006-01","2006-Q1",276400,-0.25904486251809,"2005-01"
2016-05-31,26967,"Santa Rosa","CA","Santa Rosa","Sonoma",108,499000,0.00483286347160693,0.0167074164629177,0.0833695180199739,0.100383640633062,-0.0115550364719182,"2006-04","2006-Q2",561400,-0.111150694691842,"2005-02"
2016-05-31,17759,"Des Moines","IA","Des Moines","Polk",109,117000,0.000855431993156544,0.00688468158347677,0.0465116279069767,0.0176494806073053,0.00384057810062077,"2016-05","2016-Q2",117000,0,"2016-05"
2016-05-31,13478,"Reno","NV","Reno","Washoe",110,289400,0.0101221640488656,0.0398850161696011,0.139818826309571,0.122490050944592,-0.0196142388981042,"2006-04","2006-Q2",353800,-0.182023742227247,"2004-11"
2016-05-31,20604,"Spokane","WA","Spokane","Spokane",111,157000,0.00641025641025641,0.0295081967213115,0.0850034554250173,0.0239177906410293,0.00812203878065088,"2007-10","2007-Q4",158600,-0.0100882723833544,"2007-04"
2016-05-31,10210,"Augusta","GA","Augusta","Richmond",112,80000,-0.00124843945068664,-0.0111248454882571,0.0191082802547771,-0.0087647408189796,-0.00903437885329161,"2007-12","2007-Q4",92100,-0.131378935939197,"2004-05"
2016-05-31,27362,"Tacoma","WA","Seattle","Pierce",113,223100,0.0108744902582691,0.0319148936170213,0.135947046843177,0.0551254747582797,-0.00142313150667361,"2007-06","2007-Q2",243800,-0.0849056603773585,"2006-03"
2016-05-31,11671,"Grand Rapids","MI","Grand Rapids","Kent",114,116200,0.00606060606060606,0.0219876868953386,0.115163147792706,0.0772455838818062,0.00208921164028464,"2016-05","2016-Q2",116200,0,"2016-05"
2016-05-31,6285,"Oceanside","CA","San Diego","San Diego",115,455300,0.00529918304261426,0.0167485484591335,0.0541792081500347,0.079630605630546,-0.0110872260141501,"2006-04","2006-Q2",510200,-0.107604860838887,"2004-09"
2016-05-31,24821,"Gainesville","FL","Gainesville","Alachua",116,151700,0.0126835781041389,0.0319727891156463,0.0797153024911032,0.0180798078927968,-0.0213292778906077,"2006-11","2006-Q4",193600,-0.216425619834711,"2005-02"
2016-05-31,14701,"Woodbridge","VA","Washington","Prince William",117,287700,0.0024390243902439,0.00735294117647059,0.0348920863309353,0.0411193275846082,-0.0283583421369265,"2006-01","2006-Q1",388300,-0.259078032449137,"2004-09"
2016-05-31,53673,"Ocala","FL","Ocala","Marion",118,112300,0.0108010801080108,0.0340699815837937,0.0913508260447036,0.0707186638294941,-0.0391348761282999,"2006-12","2006-Q4",170200,-0.340188014101058,"2005-01"
